#,Name,Type 1,Type 2,Generation,Legendary,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
1,Bulbasaur,Grass,Poison,1,False,318,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,1,False,405,60,62,63,80,80,60
3,Venusaur,Grass,Poison,1,False,525,80,82,83,100,100,80
3,VenusaurMega Venusaur,Grass,Poison,1,False,625,80,100,123,122,120,80
4,Charmander,Fire,,1,False,309,39,52,43,60,50,65
5,Charmeleon,Fire,,1,False,405,58,64,58,80,65,80
6,Charizard,Fire,Flying,1,False,534,78,84,78,109,85,100
6,CharizardMega Charizard X,Fire,Dragon,1,False,634,78,130,111,130,85,100
6,CharizardMega Charizard Y,Fire,Flying,1,False,634,78,104,78,159,115,100
7,Squirtle,Water,,1,False,314,44,48,65,50,64,43
8,Wartortle,Water,,1,False,405,59,63,80,65,80,58
9,Blastoise,Water,,1,False,530,79,83,100,85,105,78
9,BlastoiseMega Blastoise,Water,,1,False,630,79,103,120,135,115,78
10,Caterpie,Bug,,1,False,195,45,30,35,20,20,45
11,Metapod,Bug,,1,False,205,50,20,55,25,25,30
12,Butterfree,Bug,Flying,1,False,395,60,45,50,90,80,70
13,Weedle,Bug,Poison,1,False,195,40,35,30,20,20,50
14,Kakuna,Bug,Poison,1,False,205,45,25,50,25,25,35
15,Beedrill,Bug,Poison,1,False,395,65,90,40,45,80,75
15,BeedrillMega Beedrill,Bug,Poison,1,False,495,65,150,40,15,80,145
16,Pidgey,Normal,Flying,1,False,251,40,45,40,35,35,56
17,Pidgeotto,Normal,Flying,1,False,349,63,60,55,50,50,71
18,Pidgeot,Normal,Flying,1,False,479,83,80,75,70,70,101
18,PidgeotMega Pidgeot,Normal,Flying,1,False,579,83,80,80,135,80,121
19,Rattata,Normal,,1,False,253,30,56,35,25,35,72
20,Raticate,Normal,,1,False,413,55,81,60,50,70,97
21,Spearow,Normal,Flying,1,False,262,40,60,30,31,31,70
22,Fearow,Normal,Flying,1,False,442,65,90,65,61,61,100
23,Ekans,Poison,,1,False,288,35,60,44,40,54,55
24,Arbok,Poison,,1,False,438,60,85,69,65,79,80
25,Pikachu,Electric,,1,False,320,35,55,40,50,50,90
26,Raichu,Electric,,1,False,485,60,90,55,90,80,110
27,Sandshrew,Ground,,1,False,300,50,75,85,20,30,40
28,Sandslash,Ground,,1,False,450,75,100,110,45,55,65
29,Nidoran (Female),Poison,,1,False,275,55,47,52,40,40,41
30,Nidorina,Poison,,1,False,365,70,62,67,55,55,56
31,Nidoqueen,Poison,Ground,1,False,505,90,92,87,75,85,76
32,Nidoran (Male),Poison,,1,False,273,46,57,40,40,40,50
33,Nidorino,Poison,,1,False,365,61,72,57,55,55,65
34,Nidoking,Poison,Ground,1,False,505,81,102,77,85,75,85
35,Clefairy,Fairy,,1,False,323,70,45,48,60,65,35
36,Clefable,Fairy,,1,False,483,95,70,73,95,90,60
37,Vulpix,Fire,,1,False,299,38,41,40,50,65,65
38,Ninetales,Fire,,1,False,505,73,76,75,81,100,100
39,Jigglypuff,Normal,Fairy,1,False,270,115,45,20,45,25,20
40,Wigglytuff,Normal,Fairy,1,False,435,140,70,45,85,50,45
41,Zubat,Poison,Flying,1,False,245,40,45,35,30,40,55
42,Golbat,Poison,Flying,1,False,455,75,80,70,65,75,90
43,Oddish,Grass,Poison,1,False,320,45,50,55,75,65,30
44,Gloom,Grass,Poison,1,False,395,60,65,70,85,75,40
45,Vileplume,Grass,Poison,1,False,490,75,80,85,110,90,50
46,Paras,Bug,Grass,1,False,285,35,70,55,45,55,25
47,Parasect,Bug,Grass,1,False,405,60,95,80,60,80,30
48,Venonat,Bug,Poison,1,False,305,60,55,50,40,55,45
49,Venomoth,Bug,Poison,1,False,450,70,65,60,90,75,90
50,Diglett,Ground,,1,False,265,10,55,25,35,45,95
51,Dugtrio,Ground,,1,False,405,35,80,50,50,70,120
52,Meowth,Normal,,1,False,290,40,45,35,40,40,90
53,Persian,Normal,,1,False,440,65,70,60,65,65,115
54,Psyduck,Water,,1,False,320,50,52,48,65,50,55
55,Golduck,Water,,1,False,500,80,82,78,95,80,85
56,Mankey,Fighting,,1,False,305,40,80,35,35,45,70
57,Primeape,Fighting,,1,False,455,65,105,60,60,70,95
58,Growlithe,Fire,,1,False,350,55,70,45,70,50,60
59,Arcanine,Fire,,1,False,555,90,110,80,100,80,95
60,Poliwag,Water,,1,False,300,40,50,40,40,40,90
61,Poliwhirl,Water,,1,False,385,65,65,65,50,50,90
62,Poliwrath,Water,Fighting,1,False,510,90,95,95,70,90,70
63,Abra,Psychic,,1,False,310,25,20,15,105,55,90
64,Kadabra,Psychic,,1,False,400,40,35,30,120,70,105
65,Alakazam,Psychic,,1,False,500,55,50,45,135,95,120
65,AlakazamMega Alakazam,Psychic,,1,False,590,55,50,65,175,95,150
66,Machop,Fighting,,1,False,305,70,80,50,35,35,35
67,Machoke,Fighting,,1,False,405,80,100,70,50,60,45
68,Machamp,Fighting,,1,False,505,90,130,80,65,85,55
69,Bellsprout,Grass,Poison,1,False,300,50,75,35,70,30,40
70,Weepinbell,Grass,Poison,1,False,390,65,90,50,85,45,55
71,Victreebel,Grass,Poison,1,False,490,80,105,65,100,70,70
72,Tentacool,Water,Poison,1,False,335,40,40,35,50,100,70
73,Tentacruel,Water,Poison,1,False,515,80,70,65,80,120,100
74,Geodude,Rock,Ground,1,False,300,40,80,100,30,30,20
75,Graveler,Rock,Ground,1,False,390,55,95,115,45,45,35
76,Golem,Rock,Ground,1,False,495,80,120,130,55,65,45
77,Ponyta,Fire,,1,False,410,50,85,55,65,65,90
78,Rapidash,Fire,,1,False,500,65,100,70,80,80,105
79,Slowpoke,Water,Psychic,1,False,315,90,65,65,40,40,15
80,Slowbro,Water,Psychic,1,False,490,95,75,110,100,80,30
80,SlowbroMega Slowbro,Water,Psychic,1,False,590,95,75,180,130,80,30
81,Magnemite,Electric,Steel,1,False,325,25,35,70,95,55,45
82,Magneton,Electric,Steel,1,False,465,50,60,95,120,70,70
83,Farfetch'd,Normal,Flying,1,False,352,52,65,55,58,62,60
84,Doduo,Normal,Flying,1,False,310,35,85,45,35,35,75
85,Dodrio,Normal,Flying,1,False,460,60,110,70,60,60,100
86,Seel,Water,,1,False,325,65,45,55,45,70,45
87,Dewgong,Water,Ice,1,False,475,90,70,80,70,95,70
88,Grimer,Poison,,1,False,325,80,80,50,40,50,25
89,Muk,Poison,,1,False,500,105,105,75,65,100,50
90,Shellder,Water,,1,False,305,30,65,100,45,25,40
91,Cloyster,Water,Ice,1,False,525,50,95,180,85,45,70
92,Gastly,Ghost,Poison,1,False,310,30,35,30,100,35,80
93,Haunter,Ghost,Poison,1,False,405,45,50,45,115,55,95
94,Gengar,Ghost,Poison,1,False,500,60,65,60,130,75,110
94,GengarMega Gengar,Ghost,Poison,1,False,600,60,65,80,170,95,130
95,Onix,Rock,Ground,1,False,385,35,45,160,30,45,70
96,Drowzee,Psychic,,1,False,328,60,48,45,43,90,42
97,Hypno,Psychic,,1,False,483,85,73,70,73,115,67
98,Krabby,Water,,1,False,325,30,105,90,25,25,50
99,Kingler,Water,,1,False,475,55,130,115,50,50,75
100,Voltorb,Electric,,1,False,330,40,30,50,55,55,100
101,Electrode,Electric,,1,False,480,60,50,70,80,80,140
102,Exeggcute,Grass,Psychic,1,False,325,60,40,80,60,45,40
103,Exeggutor,Grass,Psychic,1,False,520,95,95,85,125,65,55
104,Cubone,Ground,,1,False,320,50,50,95,40,50,35
105,Marowak,Ground,,1,False,425,60,80,110,50,80,45
106,Hitmonlee,Fighting,,1,False,455,50,120,53,35,110,87
107,Hitmonchan,Fighting,,1,False,455,50,105,79,35,110,76
108,Lickitung,Normal,,1,False,385,90,55,75,60,75,30
109,Koffing,Poison,,1,False,340,40,65,95,60,45,35
110,Weezing,Poison,,1,False,490,65,90,120,85,70,60
111,Rhyhorn,Ground,Rock,1,False,345,80,85,95,30,30,25
112,Rhydon,Ground,Rock,1,False,485,105,130,120,45,45,40
113,Chansey,Normal,,1,False,450,250,5,5,35,105,50
114,Tangela,Grass,,1,False,435,65,55,115,100,40,60
115,Kangaskhan,Normal,,1,False,490,105,95,80,40,80,90
115,KangaskhanMega Kangaskhan,Normal,,1,False,590,105,125,100,60,100,100
116,Horsea,Water,,1,False,295,30,40,70,70,25,60
117,Seadra,Water,,1,False,440,55,65,95,95,45,85
118,Goldeen,Water,,1,False,320,45,67,60,35,50,63
119,Seaking,Water,,1,False,450,80,92,65,65,80,68
120,Staryu,Water,,1,False,340,30,45,55,70,55,85
121,Starmie,Water,Psychic,1,False,520,60,75,85,100,85,115
122,Mr. Mime,Psychic,Fairy,1,False,460,40,45,65,100,120,90
123,Scyther,Bug,Flying,1,False,500,70,110,80,55,80,105
124,Jynx,Ice,Psychic,1,False,455,65,50,35,115,95,95
125,Electabuzz,Electric,,1,False,490,65,83,57,95,85,105
126,Magmar,Fire,,1,False,495,65,95,57,100,85,93
127,Pinsir,Bug,,1,False,500,65,125,100,55,70,85
127,PinsirMega Pinsir,Bug,Flying,1,False,600,65,155,120,65,90,105
128,Tauros,Normal,,1,False,490,75,100,95,40,70,110
129,Magikarp,Water,,1,False,200,20,10,55,15,20,80
130,Gyarados,Water,Flying,1,False,540,95,125,79,60,100,81
130,GyaradosMega Gyarados,Water,Dark,1,False,640,95,155,109,70,130,81
131,Lapras,Water,Ice,1,False,535,130,85,80,85,95,60
132,Ditto,Normal,,1,False,288,48,48,48,48,48,48
133,Eevee,Normal,,1,False,325,55,55,50,45,65,55
134,Vaporeon,Water,,1,False,525,130,65,60,110,95,65
135,Jolteon,Electric,,1,False,525,65,65,60,110,95,130
136,Flareon,Fire,,1,False,525,65,130,60,95,110,65
137,Porygon,Normal,,1,False,395,65,60,70,85,75,40
138,Omanyte,Rock,Water,1,False,355,35,40,100,90,55,35
139,Omastar,Rock,Water,1,False,495,70,60,125,115,70,55
140,Kabuto,Rock,Water,1,False,355,30,80,90,55,45,55
141,Kabutops,Rock,Water,1,False,495,60,115,105,65,70,80
142,Aerodactyl,Rock,Flying,1,False,515,80,105,65,60,75,130
142,AerodactylMega Aerodactyl,Rock,Flying,1,False,615,80,135,85,70,95,150
143,Snorlax,Normal,,1,False,540,160,110,65,65,110,30
144,Articuno,Ice,Flying,1,True,580,90,85,100,95,125,85
145,Zapdos,Electric,Flying,1,True,580,90,90,85,125,90,100
146,Moltres,Fire,Flying,1,True,580,90,100,90,125,85,90
147,Dratini,Dragon,,1,False,300,41,64,45,50,50,50
148,Dragonair,Dragon,,1,False,420,61,84,65,70,70,70
149,Dragonite,Dragon,Flying,1,False,600,91,134,95,100,100,80
150,Mewtwo,Psychic,,1,True,680,106,110,90,154,90,130
150,MewtwoMega Mewtwo X,Psychic,Fighting,1,True,780,106,190,100,154,100,130
150,MewtwoMega Mewtwo Y,Psychic,,1,True,780,106,150,70,194,120,140
151,Mew,Psychic,,1,False,600,100,100,100,100,100,100
152,Chikorita,Grass,,2,False,318,45,49,65,49,65,45
153,Bayleef,Grass,,2,False,405,60,62,80,63,80,60
154,Meganium,Grass,,2,False,525,80,82,100,83,100,80
155,Cyndaquil,Fire,,2,False,309,39,52,43,60,50,65
156,Quilava,Fire,,2,False,405,58,64,58,80,65,80
157,Typhlosion,Fire,,2,False,534,78,84,78,109,85,100
158,Totodile,Water,,2,False,314,50,65,64,44,48,43
159,Croconaw,Water,,2,False,405,65,80,80,59,63,58
160,Feraligatr,Water,,2,False,530,85,105,100,79,83,78
161,Sentret,Normal,,2,False,215,35,46,34,35,45,20
162,Furret,Normal,,2,False,415,85,76,64,45,55,90
163,Hoothoot,Normal,Flying,2,False,262,60,30,30,36,56,50
164,Noctowl,Normal,Flying,2,False,442,100,50,50,76,96,70
165,Ledyba,Bug,Flying,2,False,265,40,20,30,40,80,55
166,Ledian,Bug,Flying,2,False,390,55,35,50,55,110,85
167,Spinarak,Bug,Poison,2,False,250,40,60,40,40,40,30
168,Ariados,Bug,Poison,2,False,390,70,90,70,60,60,40
169,Crobat,Poison,Flying,2,False,535,85,90,80,70,80,130
170,Chinchou,Water,Electric,2,False,330,75,38,38,56,56,67
171,Lanturn,Water,Electric,2,False,460,125,58,58,76,76,67
172,Pichu,Electric,,2,False,205,20,40,15,35,35,60
173,Cleffa,Fairy,,2,False,218,50,25,28,45,55,15
174,Igglybuff,Normal,Fairy,2,False,210,90,30,15,40,20,15
175,Togepi,Fairy,,2,False,245,35,20,65,40,65,20
176,Togetic,Fairy,Flying,2,False,405,55,40,85,80,105,40
177,Natu,Psychic,Flying,2,False,320,40,50,45,70,45,70
178,Xatu,Psychic,Flying,2,False,470,65,75,70,95,70,95
179,Mareep,Electric,,2,False,280,55,40,40,65,45,35
180,Flaaffy,Electric,,2,False,365,70,55,55,80,60,45
181,Ampharos,Electric,,2,False,510,90,75,85,115,90,55
181,AmpharosMega Ampharos,Electric,Dragon,2,False,610,90,95,105,165,110,45
182,Bellossom,Grass,,2,False,490,75,80,95,90,100,50
183,Marill,Water,Fairy,2,False,250,70,20,50,20,50,40
184,Azumarill,Water,Fairy,2,False,420,100,50,80,60,80,50
185,Sudowoodo,Rock,,2,False,410,70,100,115,30,65,30
186,Politoed,Water,,2,False,500,90,75,75,90,100,70
187,Hoppip,Grass,Flying,2,False,250,35,35,40,35,55,50
188,Skiploom,Grass,Flying,2,False,340,55,45,50,45,65,80
189,Jumpluff,Grass,Flying,2,False,460,75,55,70,55,95,110
190,Aipom,Normal,,2,False,360,55,70,55,40,55,85
191,Sunkern,Grass,,2,False,180,30,30,30,30,30,30
192,Sunflora,Grass,,2,False,425,75,75,55,105,85,30
193,Yanma,Bug,Flying,2,False,390,65,65,45,75,45,95
194,Wooper,Water,Ground,2,False,210,55,45,45,25,25,15
195,Quagsire,Water,Ground,2,False,430,95,85,85,65,65,35
196,Espeon,Psychic,,2,False,525,65,65,60,130,95,110
197,Umbreon,Dark,,2,False,525,95,65,110,60,130,65
198,Murkrow,Dark,Flying,2,False,405,60,85,42,85,42,91
199,Slowking,Water,Psychic,2,False,490,95,75,80,100,110,30
200,Misdreavus,Ghost,,2,False,435,60,60,60,85,85,85
201,Unown,Psychic,,2,False,336,48,72,48,72,48,48
202,Wobbuffet,Psychic,,2,False,405,190,33,58,33,58,33
203,Girafarig,Normal,Psychic,2,False,455,70,80,65,90,65,85
204,Pineco,Bug,,2,False,290,50,65,90,35,35,15
205,Forretress,Bug,Steel,2,False,465,75,90,140,60,60,40
206,Dunsparce,Normal,,2,False,415,100,70,70,65,65,45
207,Gligar,Ground,Flying,2,False,430,65,75,105,35,65,85
208,Steelix,Steel,Ground,2,False,510,75,85,200,55,65,30
208,SteelixMega Steelix,Steel,Ground,2,False,610,75,125,230,55,95,30
209,Snubbull,Fairy,,2,False,300,60,80,50,40,40,30
210,Granbull,Fairy,,2,False,450,90,120,75,60,60,45
211,Qwilfish,Water,Poison,2,False,430,65,95,75,55,55,85
212,Scizor,Bug,Steel,2,False,500,70,130,100,55,80,65
212,ScizorMega Scizor,Bug,Steel,2,False,600,70,150,140,65,100,75
213,Shuckle,Bug,Rock,2,False,505,20,10,230,10,230,5
214,Heracross,Bug,Fighting,2,False,500,80,125,75,40,95,85
214,HeracrossMega Heracross,Bug,Fighting,2,False,600,80,185,115,40,105,75
215,Sneasel,Dark,Ice,2,False,430,55,95,55,35,75,115
216,Teddiursa,Normal,,2,False,330,60,80,50,50,50,40
217,Ursaring,Normal,,2,False,500,90,130,75,75,75,55
218,Slugma,Fire,,2,False,250,40,40,40,70,40,20
219,Magcargo,Fire,Rock,2,False,410,50,50,120,80,80,30
220,Swinub,Ice,Ground,2,False,250,50,50,40,30,30,50
221,Piloswine,Ice,Ground,2,False,450,100,100,80,60,60,50
222,Corsola,Water,Rock,2,False,380,55,55,85,65,85,35
223,Remoraid,Water,,2,False,300,35,65,35,65,35,65
224,Octillery,Water,,2,False,480,75,105,75,105,75,45
225,Delibird,Ice,Flying,2,False,330,45,55,45,65,45,75
226,Mantine,Water,Flying,2,False,465,65,40,70,80,140,70
227,Skarmory,Steel,Flying,2,False,465,65,80,140,40,70,70
228,Houndour,Dark,Fire,2,False,330,45,60,30,80,50,65
229,Houndoom,Dark,Fire,2,False,500,75,90,50,110,80,95
229,HoundoomMega Houndoom,Dark,Fire,2,False,600,75,90,90,140,90,115
230,Kingdra,Water,Dragon,2,False,540,75,95,95,95,95,85
231,Phanpy,Ground,,2,False,330,90,60,60,40,40,40
232,Donphan,Ground,,2,False,500,90,120,120,60,60,50
233,Porygon2,Normal,,2,False,515,85,80,90,105,95,60
234,Stantler,Normal,,2,False,465,73,95,62,85,65,85
235,Smeargle,Normal,,2,False,250,55,20,35,20,45,75
236,Tyrogue,Fighting,,2,False,210,35,35,35,35,35,35
237,Hitmontop,Fighting,,2,False,455,50,95,95,35,110,70
238,Smoochum,Ice,Psychic,2,False,305,45,30,15,85,65,65
239,Elekid,Electric,,2,False,360,45,63,37,65,55,95
240,Magby,Fire,,2,False,365,45,75,37,70,55,83
241,Miltank,Normal,,2,False,490,95,80,105,40,70,100
242,Blissey,Normal,,2,False,540,255,10,10,75,135,55
243,Raikou,Electric,,2,True,580,90,85,75,115,100,115
244,Entei,Fire,,2,True,580,115,115,85,90,75,100
245,Suicune,Water,,2,True,580,100,75,115,90,115,85
246,Larvitar,Rock,Ground,2,False,300,50,64,50,45,50,41
247,Pupitar,Rock,Ground,2,False,410,70,84,70,65,70,51
248,Tyranitar,Rock,Dark,2,False,600,100,134,110,95,100,61
248,TyranitarMega Tyranitar,Rock,Dark,2,False,700,100,164,150,95,120,71
249,Lugia,Psychic,Flying,2,True,680,106,90,130,90,154,110
